,곡명,가사,좋아요수
26,DNA,"첫눈에 널 알아보게 됐어 (Hmm-mm)
서롤 불러왔던 것처럼 (Ooh, ooh-ooh-ooh-ooh)
내 혈관 속 DNA가 말해줘 (Hmm-mm)
내가 찾아 헤매던 너라는 걸 (Ooh, ooh-ooh-ooh-ooh)
우리 만남은 (만남은)
수학의 공식 (수학의 공식)
종교의 율법 (율법)
우주의 섭리 (우주의 섭리)
내게 주어진 운명의 증거 (처)
너는 내 꿈의 출처 (처)
Take it, take it
너에게 내민 내 손은 정해진 숙명
걱정하지 마, love
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까
우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속, 계속, yah)
우린 전생에도 (우린 전생에도)
아마 다음 생에도 (아마 다음 생에도)
영원히 함께니까
(DNA)
이 모든 건 우연이 아니니까
(DNA)
운명을 찾아낸 둘이니까, DNA
I want it, this love (This love)
I-I want it, real love (Real love)
난 너에게만 집중해, 좀 더 세게 날 이끄네
태초의 DNA (DNA)
가 널 원하는데 (하는데)
이건 필연이야 I love us (Love us)
우리만이 true lovers (Lovers)
그녀를 볼 때마다 소스라치게 놀라
신기하게 자꾸만 숨이 멎는 게 참 이상해 설마
이런 게 말로만 듣던 사랑이란 감정일까 (Oh, yeah)
애초부터 내 심장은 널 향해 뛰니까
You might also like걱정하지 마, love
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까
우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속, 계속, yah)
우린 전생에도 (우린 전생에도)
아마 다음 생에도 (아마 다음 생에도)
영원히 함께니까
(DNA)
이 모든 건 우연이 아니니까
(DNA)
운명을 찾아낸 둘이니까, DNA
돌아보지 말아
운명을 찾아낸 우리니까
후회하지 말아, baby
영원히, 영원히, 영원히
영원히 (영원히) 함께니까
걱정하지 마, love (Oh-oh-oh)
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까, DNA
La-la-la-la-la, la-la-la-la-la
우연이 아니니까, DNA
La-la-la-la-la, la-la-la-la-la
우연이 아니니까, DNA","168,443"
27,21세기 소녀,"You worth it, you perfect
Deserve it, just work it
넌 귀티나 귀티
또 pretty야 pretty
빛이나 빛이 넌 진리이자 이치
혹시 누가 너를 자꾸 욕해 욕해
Tell 'em you're my lady
가서 전해 전해
딴 놈들이 뭐라건
이 세상이 뭐라건
넌 내게 최고 너 그대로
절대 쫄지 말아
누가 뭐래도 넌 괜찮아 Alright
강해 너는 말야
You say yes or no, yes or no
20세기 소녀들아
Live your life
Live your life come on baby
21세기 소녀들아
You don't mind
You don't mind that new lady
말해 너는 강하다고
말해 넌 충분하다고
Let you go, let you go, let you go
Let it go oh
All my ladies put your hands up
21세기 소녀
Hands up
All my ladies put your hands up
Now scream
너 지나가네 남자들이 say
Oh yeah 쟤 뭐야 대체 누구야
넋이 나가네 여자들이 say
어 얘는 또 뭐야 대체 누구야
You might also likeOh bae 절대 낮추지 마
Okay 쟤들에 널 맞추진 마
You're mine
넌 충분히 아름다워
Don't worry, don't worry
Baby you're beautiful
You, you, you
20세기 소녀들아
Live your life
Live your life come on baby
21세기 소녀들아
You don't mind
You don't mind that new lady
말해 너는 강하다고
말해 넌 충분하다고
Let you go, let you go, let you go
Let it go oh
All my ladies put your hands up
21세기 소녀
Hands up
All my ladies put your hands up
Now scream
Everybody wanna love you
Everybody gonna love you
다른 건 걱정하지 마
Everybody wanna love you bae
Everybody gonna love you bae
넌 사랑 받아 마땅해
All my ladies put your hands up
21세기 소녀
Hands up
All my ladies put your hands up
Now scream
All my ladies put your hands up
21세기 소녀
Hands up
All my ladies put your hands up
Now scream","168,399"
29,Jamais Vu,"또 져버린 것 같아
넌 화가 나 보여
아른대는 game over, over, over
만약 게임이라면
또 load하면 되겠지만
I guess I gotta deal with this, deal with this
Real world
Ayy, uh
차라리 게임이면 좋겠지
너무 아프니까
I need to heal my medic
But I’m another star
완벽하지 못했던 나를 탓해
Brake in my head, brake in my step, always
그저 잘하고 싶었고
웃게 해주고 싶었는데, damn
Please give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
Please give me
A remedy, a melody
오직 내게만 남겨질 그 memory
이쯤에서 그만하면
꺼버리면 모든 게 다 편해질까
괜찮지만 괜찮지 않아
익숙하다고 혼잣말했지만
늘 처음인 것처럼 아파
You might also like부족한 gamer, 맞아 날 control 못하지
계속 아파 ‘cause 시행착오와 오만 가지
내 노래 가사, 몸짓 하나
말 한마디 다 내 미시감에 무서워지고
또 늘 도망가려 해
But 잡네, 그래도 네가
내 그림자는 커져가도 내 삶과 넌 equal sign
So 내 remedy는 your remedy
Please give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
Please give me a
(Remedy)
또 다시 뛰고, 또 넘어지고
(Honestly)
수없이 반복된대도
난 또 뛸 거라고
So give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
Please give me a remedy (성공인가? 돌아왔어)
멈춰버린 심장을 뛰게 할 remedy (집중해서 꼭 네게 닿고 말겠어, 떨어지고, 넘어지고)
이제 어떻게 해야 해 (익숙한 아픔이 똑같이 날 덮쳐)
날 살려줘 (이번에도 쉽지 않아)
다시 기회를 줘 (관둘 거냐고? No, no never)
I won’t give up","163,278"
30,낙원,"Life's long so take it slow
42.195
The end is filled with a paradise of dreams
But the real world is
Different from what's promised
We need to run, we need to step on it
If you shoot a flare
You don't have a destination
There's no sceneries at all
Until your breath comes up to your chin
You need to you need to
It's alright to stop
There's no need to run without even knowing the reason
It's alright to not have a dream
If you have moments where you feel happiness for a while
It's alright to stop
Now we don't run without knowing the destination
It's alright to not have a dream
All the breaths you breathe are already in paradise
We borrow dreams from others (Like a debt)
We learn that we need to become great (Like a light)
Your dream is actually a burden
If having a future is the only dream existing
Then what is the dream you had last night in your bed?
It's alright if the name of the dream is different
Be it buying a laptop next month
Or just eating and sleeping
Not doing anything at all yet still having a lot of money
Who says a dream must be something grand
Just become anybody
We deserve a life
Whatever big or small, you are you after all
But the real world is
Different from what's promised
We need to run, we need to step on it
If you shoot a flare
You don't have a destination
There's no sceneries at all
Until your breath comes up to your chin
You need to you need to
You might also likeIt's alright to stop
There's no need to run without even knowing the reason
It's alright to not have a dream
If you have moments where you feel happiness for a while
It's alright to stop
Now we don't run without knowing the destination
It's alright to not have a dream
All the breaths you breathe are already in paradise
I don't have a dream
To dream is sometimes scary
To just live like this
To survive like this is a small dream to me
To have a dream, to grasp a dream
To breathe, is sometimes too much to handle
Saying this person's living like this, that person's living like that
The world's hurling at me
Yeah
The world doesn't have the right to swear
What is the way to dream a dream
Since they never taught us that
In the made up dream, sleep-talk of tears
I wake you up from the nightmare for you
Now let's try to smile everyday, in that paradise
It's alright to stop
Now we don't run without even knowing the destination
It's alright to not have a dream
All the breaths you breathe are already in paradise
Stop runnin' for nothin' my friend
Now stop that foolish race
Stop runnin' for nothin' my friend
All the breaths you breathe are already in paradise
Stop runnin' for nothin' my friend
You don't need something like a dream that everyone dreams
Stop runnin' for nothin' my friend
Every language that makes you, is already in paradise","161,862"
31,All Night (BTS WORLD OST Part.3),"Yeah, I kick out the door, yeah, I kick out the door (door)
Go grab the mic and I let out the sore (sore)
This my fanmail wanna give out my heart
This an archive, I just record the flow (flow)
Come to my studio, magic happens (yeah)
Two step chillin', this feels so classic (mmm)
Ain't no job with no stress, no pressin'
So baby, let's go, seatbelts are fastened
반딧불 같은 flashin' lights
우릴 스쳐가는 flashin' nights
꼭 아파야 해, 그냥은 안 돼
시간이 지나면 웃겠지만 (yeah)
뭔가 보일 때까지 일단 걍 달려 (달려)
괜찮아, 내 수고는 내가 알어 (알어)
We keep ridin' the whole night
Hol' on tight, yeah (ya, ya)
We keep all the party in this room all night
We don't wanna put it on the brake, hold tight
해 뜰 때까지 더 계속해 all night
영감아, 기다려 널 잡을게 all mine (all night, yeah)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights (yeah, yeah, yeah)
I still have d-d-dream (d-dream)
여전히 작업실
지나가는 사람에게 물어봐 1타 가수 누군지 (방탄)
코 앞이잖아 그래미 (래미)
This is for re-e-al (real)
TV 나와 하는 돈 자랑들은 이젠 그냥 귀엽지 (귀엽지, 귀엽지)
가끔씩 이 모든 게 꿈은 아닌가 싶어
해가 뜨기 전 어둠은 꽤나 짙어
때론 니가 걷던 길 위엔 시기와 시비가
앞서 걷던 사람들의 발자국 보다 훨씬 더 (oh, no, ayy)
많을 수 있다는 사실만 넌 알아둬 (ayy, ayy)
Ayy 이제 선택은 니 몫이야 what you gonna do?
Uh-huh, ayy, she call me charming, need an ARMY
Marching for your love, I'm the sergeant
I'm not from this planet, a Martian
For you, I go the hardest
Can't stop when you get me started
You gon' make me park the Aston Martin
Tints on the windows, I don't do no talking
Oh, girl, I told you from the go
I need you to stay with me, loyal and faithfully
Ever so gracefully touching my soul
I know that you pray for me, try make a way for me
Girl, you know I'ma always hold you close
Never let go, nope, you?
Never let go, o-of you
All or nothing for ya love, I'ma risk it all
If it's not your name coming up on my phone
I won't pick up the call, not at all
Love the way you take it off
On my rocket, you taking off
Yeah, we done got love involved, love involved (ya, ya)
We keep all the party in this room all night
We don't wanna put it on the brake, hold tight
해 뜰 때까지 더 계속해 all night
영감아, 기다려 널 잡을게 all mine
We keep all the party in this room all night
We don't wanna put it on the brake, hold tight
해 뜰 때까지 더 계속해 all night
영감아, 기다려 널 잡을게 all mine, ya (all night)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights (ya, ya)
All night, all night, all night, all night
All night, all night, all night, all nights","160,151"
32,Answer : Love Myself,"눈을 뜬다 어둠 속 나
심장이 뛰는 소리 낯설 때
마주 본다 거울 속 너
겁먹은 눈빛 해묵은 질문
(SUGA) 어쩌면 누군가를 사랑하는 것보다
더 어려운 게 나 자신을 사랑하는 거야
솔직히 인정할 건 인정하자
니가 내린 잣대들은 너에게 더 엄격하단 걸
니 삶 속의 굵은 나이테
그 또한 너의 일부, 너이기에
이제는 나 자신을 용서하자 버리기엔
우리 인생은 길어 미로 속에선 날 믿어
겨울이 지나면 다시 봄은 오는 거야
차가운 밤의 시선
초라한 날 감추려
몹시 뒤척였지만, ayy
저 수많은 별을 맞기
위해 난 떨어졌던가 (Hey-ey-ey)
저 수천 개 찬란한
화살의 과녁은 나 하나, ayy
You've shown me I have reasons
I should love myself (Oh-oh-oh)
내 숨 내 걸어온 길 전부로 답해
어제의 나 오늘의 나 내일의 나
(I'm learning how to love myself)
빠짐없이 남김없이 모두 다 나
정답은 없을지도 몰라 (Yeah, yeah)
어쩜 이것도 답은 아닌 거야 (Alright)
그저 날 사랑하는 일조차
누구의 허락이 필요했던 거야
난 지금도 나를 또 찾고 있어
But 더는 죽고 싶지가 않은 걸
슬프던 me, 아프던 me
더 아름다울 美
그래 그 아름다움이 (Uh-huh)
있다고, 아는 마음이 (Alright)
나의 사랑으로 가는 길 (No way)
가장 필요한 나다운 일
Uh, 지금 날 위한 행보는 (Ayy)
바로 날 위한 행동
날 위한 태도 그게 날 위한 행복
I'll show you what I got
두렵진 않아 그건 내 존재니까 (Love myself)
You might also like시작의 처음부터
끝의 마지막까지
해답은 오직 하나, ayy
왜 자꾸만 감추려고만
해 니 가면 속으로 (Hey-ey-ey)
내 실수로 생긴
흉터까지 다 내 별자린데, ayy
You've shown me I have reasons
I should love myself (Oh-oh-oh)
내 숨 내 걸어온 길 전부로 답해
내 안에는 여전히 (Oh-oh)
서툰 내가 있지만
(Woah-oh-oh-oh)
You've shown me I have reasons
I should love myself (I'm learning how to love myself)
(Oh-oh-oh)
내 숨 내 걸어온 길 전부로 답해 (Oh-woah-oh)
어제의 나 오늘의 나 내일의 나 (Woah)
(I'm learning how to love myself)
빠짐없이 남김없이 모두 다 나","159,286"
33,보조개,"꼭꼭 숨었다가 웃으면 나타나
어디서 온 걸까? (Ah, ah, ah, ah-ah)
거짓말하지마 천사가 맞잖아
니 정체가 뭐야? (Ah, ah, ah, ah-ah)
But you, ooh-ooh
그 미소는 잔인하다 못해 cruel, ooh-ooh
그 볼을 못 봤어야 해 (You, ooh-ooh)
사실 진짜 위험한 건
너에게만 있는 거야
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
안돼 위험해 oh, yes
So, I call you ""illegirl"", ille-e-e-e-e-e-e-girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
(But I want it anyway, anyway, anyway)
내게는 없어서 너에게만 있어서
이렇게 힘든 걸까? (Ah, ah, ah, ah-ah)
빠져 죽고 싶어 잠겨 죽고 싶어
넌 내게 호수야 (Ah, ah, ah, ah-ah; Ooh, oh-oh, oh-oh)
'Cause you, ooh-ooh
웃을 때면 어질어질해 (True, ooh-ooh)
너 제발 조심해줄래 (You, ooh-ooh)
사실 좀 더 위험한 건
너에게만 있는 거야
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
안돼 위험해 oh, yes
So, I call you ""illegirl"", ille-e-e-e-e-e-e-girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
But I love it anyway, anyway, anyway
You might also like볼 때마다 마음이 위험해져
볼 때마다 점점 위험해져
Oh, baby, no, hey (Oh, no, oh)
Oh, baby, no, hey
이 세상에 있긴 너무 위험한 걸 (Oh-oh-oh)
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
안돼 위험해 oh, yes
So, I call you ""illegirl"", ille-e-e-e-e-e-e-girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 illegal, ille-e-e-e-e-e-e-gal
But I love it anyway, anyway, anyway
Ille~gal
Ille~gal
But I want it anyway anyway anyway","153,891"
34,Am I Wrong,"Am I wrong, fallin' in love with you
Tell me am I wrong
While your other man was out there
Cheatin' and lyin', steppin' all over you
The world's goin' crazy
넌 어때 how bout ya
You think it is okay
난 좀 아닌 것 같어
귀가 있어도 듣질 않어
눈이 있어도 보질 않어
다 마음에 물고기가 살어
걔 이름 SELFISH SELFISH
우린 다 개 돼지 화나서 개 되지
황새 VS 뱁새 전쟁이야 ERRDAY
미친 세상이 yeah
우릴 미치게 해
그래 우린 다 CRAZY
자 소리질러
MAYDAY MAYDAY
온 세상이 다 미친 것 같아
끝인 것 같아
Oh why Oh why
Oh why Oh why
Oh why why why why
OH MY GOD
Am I Wrong
내가 뭐 틀린 말했어 (Am I wrong)
내가 뭐 거짓말했어
Going crazy 미쳤어 미쳤어
Crazy 미쳤어 미쳤어
Am I Wrong
Am I Wrong
어디로 가는지
세상이 미쳐 돌아가네
Are you ready for this
Are you ready for this
Are you ready for this
NO I'M NOT
그램마 니가 미친겨
미친 세상에 안 미친 게 미친겨
온 천지 사방이
HELL YEAH
온라인 오프라인이
HELL YEAH
뉴스를 봐도 아무렇지 않다면
그 댓글이 아무렇지 않다면
그 증오가 아무렇지 않다면
넌 정상 아닌 게 비정상
You might also like온 세상이 다 미친 것 같아
끝인 것 같아
Oh why Oh why
Oh why Oh why
Oh why why why why
OH MY GOD
Am I Wrong
내가 뭐 틀린 말했어 (Am I wrong)
내가 뭐 거짓말했어
Going crazy 미쳤어 미쳤어
Crazy 미쳤어 미쳤어
Am I Wrong
Am I Wrong
어디로 가는지
세상이 미쳐 돌아가네
미친 세상 길을 잃어도 (Am I wrong)
아직은 더 살고 싶어
찾고 싶어 나의 믿음을
Am I Wrong
내가 뭐 틀린 말했어 (Am I wrong)
내가 뭐 거짓말했어
Going crazy 미쳤어 미쳤어
Crazy 미쳤어 미쳤어
Am I Wrong
Am I Wrong
어디로 가는지
세상이 미쳐 돌아가네
Are you ready for this
Are you ready for this
Are you ready for thisEmbed","145,271"
35,A Brand New Day (BTS WORLD OST Part.2),"Can we get through this?
Hypnotized
He pulled me in
As if possessed by something
I heard the voice inside me
Future fragments that are clear from the touch
The new world's dream of a new world surrounds me
The day you found me
(A brand new day)
Go up the stairs of the light
The moment I dreamt of it
(We know the world)
Oh, my God. Show me
Oh I can be there yeah
I’ll be there for you
Verse 2: Zara Larsson
I know you got them big dreams too
You can show me if you want to
They're beautiful
We can look at them for hours
Surrender to their power
I see new worlds these issues
They burn inside of me
Just out of touch
But still close enough to be part of me
I'll be there when the day comes
(A brand new day)
Head up in that sunlight baby
I’ll be there when the day comes
(We know the world)
Show the world just who I can be
You might also likeI didn't get down even if I was scared
I'm scared, but I'm
Because I believed in me, even in the midst of persecution
Going ma way Select me down
(I head)
A growing voice, the breath of joy
I felt for a moment that I was going to make my dream come true
Chorus: Zara Larsson & J-Hope]
I'll be there when the day comes
(A brand new day)
Head up in that sunlight baby
I'll be there when the day comes
(We know the world)
Show the world just who I can be
Fear and fear
Can we get through this?
Fear and fear
Can we get through this?","141,986"
36,좋아요,"Wanna be loved
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
Baby, I want it
That guy who throws Likes on every photo you upload, who's he?
Oh right, I'm not your boyfriend anymore, I just hit your number without realizing it
It feels like I'm the one losing if I call you or text you on KakaoTalk
I think you won't even notice me if I don't do anything
(Why) There's no dislike button, but I don't want to be one of the thirty-something people
Who says you look good here and there, let's play together once and why are you so pretty
Uh f**k that, all stupid b*******s
You're not mine anymore, so why does it feel like you’re the one stealing things from me?
Haha, you live just fine without me, seeing you makes me sick, so have fun out there
I swallow the curse up my neck and press like again today, shit
You look rather good after we broke up, pretty woman
Pretty woman
Yeah, yeah, yeah, yeah
You still look good and it annoys me, pretty woman
Oh pretty woman
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
I know it's over, yeah
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
(Yo!) Baby, I want it
(SUGA)
Your face looks better after my friend clicks like on your photo
You tag, tag your photo with your new boyfriend
Thanks to you, my memories with you go backspace
Why am I still stuck in the times we spent together
When everyone in that world has already stopped?
Ha, are you thinking about me? (Are you?)
I think about whether I should press like over again and again
You slashed off my heart without blinking an eye like a guillotine
But I wear the goblin's hat and always stalk you and your everyday life
Each time I go there my mind is filled with the 108 defilements
Oh shit, are you thinking about me? (Are you?)
I think again and decide not to press Like
You might also likeYou look rather good after we broke up, pretty woman
Pretty woman
Yeah, yeah, yeah, yeah
You still look good and it annoys me, pretty woman
Oh pretty woman
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
I know it's over, yeah
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
Baby, I want it
I'd like to know how you are doing these days
Out of curiosity, (shit) I see that you have so many likes
Why did I think of you when you're doing fine without me?
What comes to me is more pity
I’ll also like your post and leave
Without you I'm living like this these days
Know you want it, ah
You look rather good after we broke up, pretty woman
Pretty woman
Yeah, yeah, yeah, yeah
You still look good and it annoys me, pretty woman
Oh pretty woman
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
I know it's over, yeah
Don't wanna be fool, wanna be cool, wanna be loved
Our same love (Our same love)
Baby, I want it","137,853"
37,Reflection,"I know
Every life's a movie
We got different stars and stories
We got different nights and mornings
Our scenarios ain't just boring
나는 이 영화가 너무 재밌어
매일매일 잘 찍고 싶어
난 날 쓰다듬어주고 싶어
날 쓰다듬어주고 싶어
근데 말야 가끔 나는
내가 너무너무 미워
사실 꽤나 자주 나는
내가 너무 미워
내가 너무 미울 때 난 뚝섬에 와
그냥 서 있어 익숙한 어둠과
웃고 있는 사람들과
나를 웃게 하는 beer
슬며시 다가와서
나의 손을 잡는 fear
괜찮아 다 둘셋이니까
나도 친구가 있음 좋잖아
세상은 절망의 또 다른 이름
나의 키는 지구의 또 다른 지름
나는 나의 모든 기쁨이자 시름
매일 반복돼 날 향한 좋고 싫음
저기 한강을 보는 친구야
우리 옷깃을 스치면 인연이 될까
아니 우리 전생에 스쳤을지 몰라
어쩜 수없이 부딪혔을지도 몰라
어둠 속에서 사람들은
낮보다 행복해 보이네
다들 자기가 있을 곳을 아는데
나만 하릴없이 걷네
그래도 여기 섞여있는 게 더 편해
밤을 삼킨 뚝섬은 나에게
전혀 다른 세상을 건네
나는 자유롭고 싶다
자유에게서 자유롭고 싶다
지금은 행복한데 불행하니까
나는 나를 보네
뚝섬에서
I wish I could love myself
I wish I could love myself
I wish I could love myself
I wish I could love myself
I wish I could love myself
I wish I could love myself
I wish I could love myself
I wish I could love myselfYou might also like","136,129"
38,Lie,"내게 말해
너의 달콤한 미소로 내게
내게 말해
속삭이듯 내 귓가에 말해
Don't be like a prey
Be smooth like a like a snake
벗어나고 싶은데
Ah woo woo
내게서 떠나 떠나 떠나줘
내게서 떠나 떠나줘
Ah woo woo
뭐라도 나를 나를 구해줘
나를 구해줘
계속돼 도망쳐봐도
거짓 속에 빠져있어
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘
나를 원해
길을 잃고 헤매이는 나를
나를 원해
매일 그랬듯 나
I feel so far away
You always come my way
또 다시 반복돼 난
You might also likeAh woo woo
내게서 떠나 떠나 떠나줘
내게서 떠나 떠나줘
Ah woo woo
뭐라도 나를 나를 구해줘
나를 구해줘
계속돼 도망쳐봐도
거짓 속에 빠져있어
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘
아직 나는 여전히 똑같은 나인데
예전과 똑같은 나는 여기 있는데
너무나 커져버린
거짓이 날 삼키려 해
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘","132,405"
39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"모든 게 궁금해 how's your day
Oh tell me (oh yeah oh yeah, ah yeh ah yeh)
뭐가 널 행복하게 하는지
Oh text me (oh yeah oh yeah, oh yeah oh yeah)
Your every picture
내 머리맡에 두고 싶어 oh bae
Come be my teacher
네 모든 걸 다 가르쳐줘
Your one, your two
Listen my my baby 나는
저 하늘을 높이 날고 있어
(그때 네가 내게 줬던 두 날개로)
이제 여긴 너무 높아
난 내 눈에 널 맞추고 싶어
Yeah, you makin' me a boy with love
Oh my my my, oh my my my
I've waited all my life
네 전부를 함께하고 싶어
Oh my my my, oh my my my
Looking for something right
이제 조금은 나 알겠어
than a moment, than a moment, love
(Ooh ah ooh ah ooh ah ooh ah ah) I have waited longer
(Ooh ah ooh ah ooh ah ooh ah ooh)
For a boy with, for a boy with love
널 알게 된 이후 ya 내 삶은 온통 너 ya
사소한 게 사소하지 않게 만들어버린 너라는 별
(Oh yeah) 하나부터 열까지 ay ay 모든 게 특별하지 ay
너의 관심사 걸음걸이 말투와
사소한 작은 습관들까지 (Hope world)
Ayy 다 말하지 너무 작던 내가 영웅이 된 거라고 (oh nah)
난 말하지 운명 따윈 처음부터 내 게 아니었다고 (oh nah)
세계의 평화 (no way)
거대한 질서 (no way)
그저 널 지킬 거야 난 (boy with love)
Listen my my baby 나는
저 하늘을 높이 날고 있어
(그때 네가 내게 줬던 두 날개로)
이제 여긴 너무 높아
난 내 눈에 널 맞추고 싶어
Yeah, you makin' me a boy with love
Oh my my my, oh my my my
You got me high so fast
네 전부를 함께하고 싶어
Oh my my my, oh my my my
You got me fly so fast
이제 조금은 나 알겠어
than a boy with love
(Ooh ah ooh ah ooh ah ooh ah ah) love is nothing stronger
(Ooh ah ooh ah ooh ah ooh ah ooh) (than a boy with) than a boy with love
툭 까놓고 말할게
나도 모르게 힘이 들어가기도 했어
높아버린 sky, 커져버린 hall
때론 도망치게 해달라며 기도했어
But 너의 상처는 나의 상처
깨달았을 때 나 다짐했던걸 (yeah)
네가 준 이카루스의 날개로
태양이 아닌 너에게로
Let me fly
Oh my my my, oh my my my
I've waited all my life
네 전부를 함께하고 싶어
Oh my my my, oh my my my
Looking for something right
이제 조금은 나 알겠어
than a moment, than a moment, love
(Ooh ah ooh ah ooh ah ooh ah ah) love is nothing stronger
(Ooh ah ooh ah ooh ah ooh ah ooh) (than a boy with) than a boy with love","129,456"
40,Awake,"믿는 게 아냐 버텨보는 거야
할 수 있는 게 다 이것뿐이라서
머물고 싶어 더 꿈꾸고 싶어
그래도 말야 떠날 때가 됐는걸
Yeah, it's my truth (Ooh-ah)
It's my truth (Ooh-ah)
온통 상처투성이겠지, ooh
But it's my fate (Ooh-ah)
It's my fate (Ooh-ah)
그래도 발버둥치고 싶어, ooh
Maybe I, I can never fly
저기 저 꽃잎들처럼
날갤 단 것처럼은 안 돼, yeah
Maybe I, I can't touch the sky
그래도 손 뻗고 싶어
달려보고 싶어 조금 더
이 어둠 속을 그냥 걷고 또 걷고 있어
행복했던 시간들이 내게 물었어
너 넌 정말 괜찮은 거냐고, ooh, no, ayy
난 대답했어 아니 나는 너무 무서워
그래도 여섯 송이 꽃을 손에 꼭 쥐고
나 난 걷고 있을 뿐이라고, ooh, no
But it's my fate (Ooh-ah)
It's my fate (Ooh-ah)
그래도 발버둥치고 싶어, ooh
Maybe I, I can never fly
저기 저 꽃잎들처럼
날갤 단 것처럼은 안 돼, yeah
Maybe I, I can't touch the sky
그래도 손 뻗고 싶어
달려보고 싶어 조금 더
You might also likeWide awake, wide awake, wide awake
Don't cry (cry, cry)
Wide awake, wide awake, wide awake
No lie (No lie, no lie, no lie, yeah)
Wide awake, wide awake, wide awake
Don't cry (Don't cry, don't cry)
Wide awake, wide awake, wide awake
No lie (Lie, lie)
Maybe I, I can never fly
저기 저 꽃잎들처럼
날갤 단 것처럼은 안 돼, yeah
Maybe I, I can't touch the sky
그래도 손 뻗고 싶어
달려보고 싶어 조금 더","129,360"
41,Dream Glow (BTS WORLD OST Part.1),"I spend my whole life following the night time
Can't see the stop sign what you gonna say (hey)
Wandering quietly right into my dreams
It's all that I see what you gonna say (hey)
Always feeling something bigger something real wild (real wild)
Keep on shining, make it brighter than a spotlight (spotlight)
(Hey hey)
Sometimes I stop and stare
Follow my dreams right there
Dream glow
Glow (hey hey)
Sometimes my dreams come true
Sometimes they turn to blue
Dream glow
Glow (hey hey)
키우기 쉽단 착한 소년들이
감추곤 했던 까진 무르팍 (hey)
내 별자리는 태양의 파편
찬란한 암전 그림자의 춤 (hey)
심장 속에 식지 않는 빛을 느껴 (느껴)
제껴본 적 없는 상대한텐 못 져 (못 져 hey hey)
눈부셨던 미래 에 에 에
잠시만 멈춘 채 에 에 will glow
Glow (hey hey)
내 꿈은 여기 stay 에 에 에
나 포기 안 할게 에 에 you'll glow
Glow (hey hey)
까만 새벽 떨리는 날개를 펼쳐 (펼쳐)
Keep on shining, make it brighter than a spotlight (spotlight, spotlight)
(Hey hey)
Sometimes I stop and stare
Follow my dreams right there
Dream glow
Glow (hey hey)
내 꿈은 여기 stay 에 에 에
나 포기 안 할게 에 에 dream glow
Glow (hey hey)
You'll glow
Glow (hey hey)
You'll glow
Glow (hey hey)","128,531"
